City_Description,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
171,Troitskoye,RU,52.9821,84.6757,22.95,93,100,7.85,overcast clouds
172,Kalyazin,RU,57.2403,37.8433,19.83,93,100,11.95,overcast clouds
173,Tucuman,AR,-26.8241,-65.2226,64.4,82,75,6.91,broken clouds
174,Kiruna,SE,67.8557,20.2251,2.32,85,5,6.91,clear sky
175,Nizhnevartovsk,RU,60.9344,76.5531,-3.98,77,0,7.0,clear sky
176,Tura,IN,25.5198,90.2201,76.14,53,64,1.32,broken clouds
177,Kavaratti,IN,10.5669,72.642,81.14,48,12,6.62,few clouds
178,Wanning,CN,18.8003,110.3967,78.93,87,100,3.71,overcast clouds
179,Jacareacanga,BR,-6.2222,-57.7528,75.11,85,75,1.77,broken clouds
180,Seoul,KR,37.5683,126.9778,56.8,64,75,6.91,mist
181,Kropotkin,RU,45.4375,40.5756,57.56,53,87,6.93,overcast clouds
182,Carquefou,FR,47.2982,-1.4902,48.27,78,40,13.8,light rain
183,Ilulissat,GL,69.2167,-51.1,6.94,83,96,3.33,overcast clouds
184,Sabang,ID,5.8933,95.3214,80.98,77,100,16.87,overcast clouds
185,Ushumun,RU,52.7833,126.5333,10.8,77,23,5.48,few clouds
186,Centenario Do Sul,BR,-22.8211,-51.5953,68.02,78,100,2.57,overcast clouds
187,Bonavista,CA,48.6499,-53.1147,28.89,71,97,26.46,overcast clouds
188,Lichuan,CN,30.3,108.85,56.73,80,99,0.29,overcast clouds
189,Seoni Malwa,IN,22.45,77.4667,73.83,38,21,7.31,few clouds
190,Te Anau,NZ,-45.4167,167.7167,51.98,85,91,4.52,overcast clouds
191,Basco,PH,20.4487,121.9702,80.42,82,84,18.12,moderate rain
192,Lagoa,PT,39.05,-27.9833,64.33,89,99,32.57,overcast clouds
193,Portsmouth,GB,50.799,-1.0913,46.96,90,18,7.0,few clouds
194,Mikhaylovka,RU,50.06,43.2379,44.78,97,100,6.93,light rain
195,Clyde River,CA,70.4692,-68.5914,3.43,66,75,26.46,broken clouds
196,Montepuez,MZ,-13.1256,38.9997,75.72,66,50,3.27,scattered clouds
197,Srandakan,ID,-7.9386,110.2506,81.5,76,100,9.22,overcast clouds
198,Roscrea,IE,52.9511,-7.8017,44.28,96,92,8.14,overcast clouds
199,Rurrenabaque,BO,-14.4413,-67.5278,72.64,100,100,2.82,overcast clouds
200,Gumdag,TM,39.2061,54.5906,57.9,51,64,13.47,broken clouds
201,Damara,CF,4.9608,18.7035,69.73,58,92,3.0,overcast clouds
